,#cluster,Jaccard,cluster,time (s)
MOFA2,6,0.1867030965391621,"                                             samples n_samples
1  {s_32, s_169, s_191, s_25, s_26, s_54, s_55, s...        34
2  {s_34, s_17, s_92, s_167, s_176, s_130, s_171,...        31
3  {s_113, s_16, s_160, s_105, s_193, s_73, s_138...        25
4  {s_190, s_74, s_101, s_119, s_53, s_24, s_140,...        63
5  {s_57, s_58, s_100, s_112, s_147, s_175, s_50,...        29",27.5613174438477
NMF_W,10,0.14257620452310718,"                                             samples n_samples
0  {s_190, s_191, s_113, s_26, s_101, s_130, s_94...        42
1  {s_177, s_161, s_143, s_105, s_93, s_193, s_11...        10
2                                {s_95, s_129, s_75}         3
3                                             {s_19}         1
4                                                 {}         0
5                                            {s_192}         1
6                                 {s_21, s_72, s_55}         3
7                                                 {}         0
8                                            {s_174}         1
9                     {s_15, s_79, s_35, s_56, s_88}         5",25.855406999588013
NMF_H,5,0.10384215991692627,"                                             samples n_samples
0  {s_80, s_21, s_152, s_166, s_40, s_22, s_72, s...        15
1  {s_60, s_62, s_183, s_15, s_36, s_17, s_89, s_...        13
2            {s_197, s_71, s_120, s_19, s_193, s_65}         6
3  {s_190, s_191, s_16, s_101, s_176, s_94, s_76,...        27
4                          {s_192, s_20, s_88, s_58}         4",6.623036861419678
moCluster,7,0.05847953216374269,"                                             samples n_samples
1  {s_32, s_169, s_74, s_191, s_54, s_16, s_101, ...        51
2  {s_17, s_100, s_147, s_171, s_118, s_1, s_177,...        34
3  {s_26, s_66, s_189, s_125, s_120, s_8, s_180, ...        79
4  {s_110, s_113, s_117, s_129, s_4, s_160, s_159...        12
5       {s_71, s_15, s_89, s_192, s_142, s_88, s_99}         7
6  {s_57, s_41, s_34, s_58, s_176, s_79, s_112, s...        16",2.06158065795898
PCA,4,0.0,"                                             samples n_samples
0  {s_110, s_129, s_113, s_117, s_4, s_160, s_187...        16
1  {s_132, s_60, s_183, s_188, s_36, s_89, s_84, ...        16
2  {s_197, s_71, s_125, s_120, s_177, s_8, s_19, ...         9
3                           {s_91, s_15, s_79, s_88}         4",0.13682126998901367
sparse_PCA,4,0.0,"                                             samples n_samples
0                    {s_15, s_89, s_79, s_142, s_88}         5
1  {s_60, s_36, s_84, s_55, s_75, s_158, s_118, s...        14
2  {s_80, s_21, s_152, s_1, s_144, s_166, s_40, s...        14
3      {s_157, s_71, s_176, s_192, s_94, s_76, s_99}         7",68.31352019309998
