,#cluster,Jaccard,cluster,time (s)
MOFA2,5,0.788888888888889,"                                             samples n_samples
1  {s_32, s_58, s_94, s_175, s_199, s_40, s_45, s...        19
2  {s_150, s_191, s_25, s_17, s_101, s_182, s_92,...        69
3  {s_197, s_131, s_144, s_26, s_185, s_55, s_46,...        10
4  {s_169, s_34, s_54, s_100, s_72, s_112, s_176,...        44",22.9966707229614
moCluster,6,0.7833333333333333,"                                             samples n_samples
1  {s_17, s_171, s_83, s_118, s_66, s_189, s_120,...        87
2  {s_190, s_57, s_74, s_113, s_16, s_167, s_122,...        58
3  {s_34, s_100, s_112, s_7, s_158, s_31, s_132, ...        26
4  {s_32, s_58, s_94, s_175, s_199, s_40, s_45, s...        19
5  {s_197, s_131, s_144, s_26, s_185, s_55, s_46,...         9",4.8741660118103
NMF_H,4,0.7698830409356725,"                                             samples n_samples
0  {s_34, s_100, s_112, s_7, s_158, s_31, s_132, ...        29
1  {s_17, s_171, s_83, s_118, s_66, s_189, s_120,...        87
2  {s_21, s_32, s_199, s_40, s_58, s_45, s_159, s...        18
3  {s_197, s_190, s_57, s_74, s_113, s_26, s_16, ...        63",5.060322523117065
NMF_W,5,0.705032036255665,"                                             samples n_samples
0  {s_17, s_171, s_83, s_118, s_66, s_189, s_159,...        86
1  {s_197, s_144, s_26, s_24, s_55, s_46, s_75, s...         9
2                                            {s_185}         1
3  {s_190, s_57, s_74, s_113, s_16, s_100, s_167,...        65
4                                            {s_153}         1",5.2683351039886475
PCA,4,0.33333333333333337,"                                             samples n_samples
0                                                 {}         0
1  {s_0, s_169, s_20, s_36, s_54, s_120, s_72, s_...        16
2  {s_32, s_58, s_94, s_175, s_199, s_40, s_45, s...        20
3  {s_197, s_144, s_26, s_185, s_24, s_55, s_75, ...         8",0.1360492706298828
sparse_PCA,5,0.15,"                                             samples n_samples
0  {s_178, s_34, s_40, s_16, s_89, s_125, s_35, s...        17
1                                                 {}         0
2                                                 {}         0
3  {s_197, s_144, s_26, s_185, s_24, s_55, s_46, ...        10
4                                      {s_184, s_61}         2",66.98311400413513
