,#cluster,Jaccard,cluster,time (s)
MOFA2,5,0.75,"                                             samples n_samples
1  {s_32, s_17, s_53, s_125, s_89, s_107, s_109, ...        19
2  {s_197, s_144, s_26, s_185, s_55, s_46, s_194,...         8
3  {s_74, s_54, s_100, s_112, s_147, s_7, s_158, ...        39
4  {s_57, s_113, s_191, s_25, s_16, s_92, s_72, s...        69",20.1104862689972
moCluster,8,0.6888888888888889,"                                             samples n_samples
1  {s_88, s_150, s_169, s_190, s_34, s_182, s_58,...        65
2  {s_32, s_71, s_117, s_2, s_17, s_125, s_89, s_...        13
3  {s_57, s_113, s_191, s_25, s_16, s_92, s_72, s...        68
4  {s_74, s_54, s_100, s_112, s_147, s_7, s_158, ...        38
5                   {s_185, s_55, s_46, s_194, s_24}         5
6                         {s_197, s_144, s_26, s_75}         4
7            {s_41, s_141, s_134, s_27, s_95, s_109}         6",3.96555066108704
NMF_W,4,0.5936647173489279,"                                             samples n_samples
0  {s_32, s_71, s_117, s_2, s_17, s_125, s_89, s_...        14
1  {s_197, s_74, s_26, s_54, s_100, s_55, s_7, s_...        30
2  {s_41, s_36, s_51, s_148, s_85, s_27, s_95, s_...         8
3  {s_57, s_191, s_113, s_25, s_16, s_92, s_72, s...        67",6.033056735992432
NMF_H,4,0.5828192485571226,"                                             samples n_samples
0  {s_34, s_124, s_97, s_159, s_8, s_142, s_180, ...        92
1  {s_32, s_17, s_53, s_125, s_89, s_131, s_107, ...        20
2  {s_197, s_74, s_54, s_100, s_55, s_112, s_147,...        46
3                                                 {}         0",6.9483866691589355
PCA,4,0.38333333333333336,"                                             samples n_samples
0                               {s_46, s_194, s_131}         3
1  {s_112, s_147, s_158, s_94, s_24, s_83, s_73, ...        25
2  {s_32, s_71, s_117, s_2, s_17, s_125, s_89, s_...        15
3                        {s_197, s_144, s_75, s_185}         4",0.1399071216583252
sparse_PCA,6,0.1611111111111111,"                                             samples n_samples
0  {s_172, s_29, s_72, s_154, s_85, s_48, s_30, s...         9
1                                                 {}         0
2  {s_32, s_17, s_53, s_125, s_89, s_131, s_107, ...        20
3                                                 {}         0
4    {s_62, s_168, s_161, s_116, s_111, s_184, s_45}         7
5  {s_69, s_133, s_106, s_100, s_16, s_22, s_46, ...        10",854.9528946876526
